gene_symbol,epmc_pmid,epmc_year,epmc_cited_by,epmc_paper_count,epmc_title,member_class,reversal_score_wilcoxon,q_value,average_rank,paperclip_pmcid,paperclip_year,paperclip_title,NOT_A_VERDICT
NHP2,22553043,2012,2005,199,Genomic analysis of reactive astrogliosis.,perturbed_moves_program,3.428676097219139,0.0229139179020019,2082.0,PMC12242609,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
NOLC1,29373831,2018,795,119,Context-Dependent and Disease-Specific Diversity in Protein Interactions within Stress Granules.,perturbed_no_detected_move,0.8686304892668483,0.7063524048229988,3281.3333333333335,PMC12794328,2025,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
NOP14,20448178,2010,2514,48,A draft sequence of the Neandertal genome.,perturbed_no_detected_move,0.622504545668017,0.8038358263960073,5361.333333333333,PMC12794328,2025,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
NOP56,18959479,2008,519,209,Diverse RNA-binding proteins interact with functionally related sets of RNAs; suggesting an extensive regulatory system.,perturbed_no_detected_move,0.3638573703841611,0.8968875662474722,4948.0,PMC12242609,2025,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
NPM1,32408336,2020,882,1130,Proteomics of SARS-CoV-2-infected host cells reveals therapy targets.,perturbed_no_detected_move,2.593616461739781,0.1109382721115082,450.6666666666667,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
PAIP1,33599151,2021,662,78,Regulation and metabolic functions of mTORC1 and mTORC2.,perturbed_no_detected_move,1.1362701070832963,0.5853393174072735,2277.6666666666665,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
PARN,31953710,2020,764,253,Human Inborn Errors of Immunity: 2019 Update on the Classification from the International Union of Immunological Societi,perturbed_no_detected_move,2.5488749005107896,0.1181716319946159,1633.6666666666667,PMC12242609,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
PDIA5,32457508,2020,2205,267,Mechanisms; regulation and functions of the unfolded protein response.,perturbed_no_detected_move,0.4854637463550249,0.8535836276226423,4197.333333333333,PMC13266193,2026,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
PDIA6,32457508,2020,2205,982,Mechanisms; regulation and functions of the unfolded protein response.,perturbed_no_detected_move,-0.1728235378728409,0.9548342946819196,9136.0,PMC11524824,2024,Increased ER stress by depletion of PDIA6 impairs primary ciliogenesis and enhances sensitivity to ferroptosis in kidney cells,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
POP4,31036962,2019,3851,52,The NLRP3 inflammasome: molecular activation and regulation to therapeutics.,perturbed_no_detected_move,1.4610494050016298,0.455743823994728,4538.333333333333,PMC11850225,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
PREB,33634751,2021,2271,153,Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)&lt;sup&gt;1&lt;/sup&gt;.,perturbed_no_detected_move,-1.361284872173597,0.4976560009049768,9903.333333333334,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
PSAT1,33268902,2021,3413,620,Ferroptosis: molecular mechanisms and health implications.,perturbed_no_detected_move,-0.4017156145009997,0.8847096712501935,8000.333333333333,PMC11494179,2024,Interplay between acetylation and ubiquitination controls PSAT1 protein stability in lung adenocarcinoma,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
RPS14,33174596,2021,1713,402,MitoCarta3.0: an updated mitochondrial proteome now with sub-organelle localization and pathway annotations.,perturbed_no_detected_move,0.7458531588970896,0.7524420647543238,4866.333333333333,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
RRP9,18268104,2008,186,53,The Hsp90 chaperone controls the biogenesis of L7Ae RNPs through conserved machinery.,perturbed_no_detected_move,2.5672594563419815,0.1153292989338636,3062.3333333333335,PMC12242609,2025,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SDAD1,30265241,2018,303,28,Identification of functionally distinct fibro-inflammatory and adipogenic stromal subpopulations in visceral adipose tis,perturbed_no_detected_move,1.266966001617837,0.5312770604277847,4196.0,PMC12242609,2025,Unveiling the intercompartmental signaling axis: Mitochondrial to ER Stress Response (MERSR) and its impact on proteostasis,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SEC11A,27911326,2017,126,59,Localization and Processing of the Amyloid-β Protein Precursor in Mitochondria-Associated Membranes.,perturbed_no_detected_move,-0.78809624404328,0.7379223376484753,6434.666666666667,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SEC31A,33601415,2021,786,304,Lipid metabolism and cancer.,perturbed_no_detected_move,1.0582446580461755,0.6197106526185725,1999.6666666666667,PMC12528718,2025,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SERP1,33634751,2021,2271,222,Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)&lt;sup&gt;1&lt;/sup&gt;.,perturbed_no_detected_move,-1.3527616943508156,0.500224901639574,8429.0,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SHC1,29362479,2018,5207,264,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.,perturbed_no_detected_move,3.0166355070499105,0.0535849244294562,791.0,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SKIC3,33949788,2021,69,15,Ribosome dynamics and mRNA turnover; a complex relationship under constant cellular scrutiny.,never_perturbed,,,,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SLC1A4,26382145,2015,1094,249,MYC; Metabolism; and Cancer.,perturbed_no_detected_move,-0.958523690516321,0.6647210984376495,8306.666666666666,PMC12794328,2025,Disturbances of endoplasmic reticulum proteostasis in neurodevelopmental disorders,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SLC30A5,17942684,2007,702,57,The cation efflux transporter ZnT8 (Slc30A8) is a major autoantigen in human type 1 diabetes.,perturbed_no_detected_move,2.4671734575859547,0.1353189440512475,868.6666666666666,PMC13287676,2026,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SLC7A5,26799652,2016,4317,797,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,perturbed_no_detected_move,-0.3327081821867623,0.9060963796755948,6837.0,PMC11338521,2024,Sestrin2 drives ER-phagy in response to protein misfolding,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SPCS1,19884131,2010,572,70,CORUM: the comprehensive resource of mammalian protein complexes--2009.,perturbed_no_detected_move,1.099936648402694,0.6022014170694285,1688.3333333333333,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SPCS3,17623099,2007,87,63,Genome wide transcriptional analysis of resting and IL2 activated human natural killer cells: gene expression signatures,perturbed_no_detected_move,-1.928635308807156,0.2806731219827433,11035.666666666666,PMC12304649,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SRPRA,33384352,2021,115,39,QRICH1 dictates the outcome of ER stress through transcriptional control of proteostasis.,never_perturbed,,,,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SRPRB,27984733,2016,1105,114,A Multiplexed Single-Cell CRISPR Screening Platform Enables Systematic Dissection of the Unfolded Protein Response.,perturbed_no_detected_move,0.8764466687486295,0.7024255185578143,3295.0,PMC12242609,2025,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
SSR1,23135325,2012,341,181,Architecture and biosynthesis of the Saccharomyces cerevisiae cell wall.,perturbed_no_detected_move,-2.0576325982536297,0.2395826647136828,9464.666666666666,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
STC2,15706034,2005,361,319,An initial blueprint for myogenic differentiation.,perturbed_no_detected_move,0.4674992147500518,0.8595851785001118,4813.0,PMC11739220,2024,IGFBP6 Modulates Proteostasis by Activating ATF4 Targets and Reducing ER Retrotranslocon Expression,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
TARS1,35501376,2022,60,41,Functional and pathologic association of aminoacyl-tRNA synthetases with cancer.,never_perturbed,,,,PMC12242609,2025,Unveiling the intercompartmental signaling axis: Mitochondrial to ER Stress Response (MERSR) and its impact on proteostasis,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
TATDN2,22292898,2012,70,16,Genome-wide landscape of liver X receptor chromatin binding and gene regulation in human macrophages.,perturbed_no_detected_move,-0.2561088211507822,0.928015141771217,5319.666666666667,PMC12242609,2025,The Role of ER Stress and the Unfolded Protein Response in Cancer,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
TSPYL2,36581622,2022,632,54,The sirtuin family in health and disease.,perturbed_no_detected_move,-2.55127099191059,0.1178859063873331,10691.0,PMC11581032,2024,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
TUBB2A,35115731,2022,566,248,Large-scale deep multi-layer analysis of Alzheimer's disease brain reveals strong proteomic disease-related changes not ,perturbed_no_detected_move,2.2032350800515657,0.1974316804678083,884.0,PMC12834500,2026,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
VEGFA,29508855,2018,1572,3281,Enhancing cancer immunotherapy using antiangiogenics: opportunities and challenges.,perturbed_no_detected_move,-1.8189462557227616,0.318905546068578,10186.0,PMC12242609,2025,The Role of ER Stress and the Unfolded Protein Response in Cancer,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
WFS1,34293799,2021,2471,884,Highly accurate protein structure prediction for the human proteome.,never_perturbed,,,,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
WIPI1,26799652,2016,4317,469,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,perturbed_no_detected_move,-1.3508292006108338,0.5010962500977872,9210.0,PMC11338521,2024,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
XBP1,26799652,2016,4317,14692,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,perturbed_no_detected_move,0.6492536387494197,0.7935598402272049,2802.3333333333335,PMC12804389,2025,Expanding the landscape of the unfolded protein response: The roles of secondary transcription factors in development and disease,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
XPOT,20810645,2010,640,77,tRNA biology charges to the front.,perturbed_no_detected_move,0.0870211219557844,0.9769486426044356,3669.3333333333335,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
YIF1A,19420237,2009,232,49,ATF6alpha induces XBP1-independent expansion of the endoplasmic reticulum.,perturbed_no_detected_move,1.214295556120417,0.5534995626131742,2110.0,PMC12304649,2025,Membrane Contact Sites in Proteostasis and ER Stress Response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
YWHAZ,26799652,2016,4317,806,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,perturbed_no_detected_move,0.118570091558182,0.9704321637608688,3649.3333333333335,PMC12242609,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
ZBTB17,29242641,2018,396,46,Ubiquitin ligases in oncogenic transformation and cancer therapy.,perturbed_moves_program,4.050875685799909,0.0048049776652863,494.3333333333333,PMC11581032,2024,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
