mapping,family,set_token,size,hits
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_6df9eeb96b,20,12
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_e3cebc5231,22,11
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_e5e97c1720,9,5
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_0cc612debf,10,1
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_c04495224e,18,5
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_4d4c6aa3d4,19,6
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_f31d7f72d0,25,6
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_5a2792f9ed,27,8
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_2449669e02,57,28
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_cc3c0c7380,4,4
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_04adb3a3ac,13,2
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_c0c8e93789,15,11
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_72f4cd6e8d,9,5
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_15e079b75b,11,7
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_056f221c55,12,8
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_187a2777ed,21,5
A5 SMPDB sweep :: detected in >=10% of studies,smpdb_sweep,set_60b84238d1,24,7
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_6a07e89aca,17,9
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_1e739fc094,18,4
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_ad39336678,18,3
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_cebba23029,12,3
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_12e6179242,11,4
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_d968f73897,14,6
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_d786d26975,17,10
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_0aff08fe79,19,3
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_007eaa1a85,7,3
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_e8b09d796f,19,6
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_fb49fea8a3,13,5
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_928b2c583e,19,7
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_501cd3859e,9,5
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_49e86234df,10,7
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_dda94f81b4,9,4
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_32901117b9,11,7
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_fd311e4727,10,6
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_e6b18b1d2f,19,11
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_f314f1647f,17,9
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_966d757772,18,9
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_674ec21534,18,5
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_bde45c348a,18,7
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_20adf3af55,8,4
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_77ee06219f,8,5
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_62e609c277,9,4
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_e5b926ced6,19,5
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_4d9c07d737,12,3
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_e5e97c1720,9,5
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_0cc612debf,10,1
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_c04495224e,18,5
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_4d4c6aa3d4,19,6
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_cc3c0c7380,4,4
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_04adb3a3ac,13,2
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_c0c8e93789,15,11
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_72f4cd6e8d,9,5
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_15e079b75b,11,7
A5 SMPDB sweep :: detected in >=10% of studies :: size_lt20,smpdb_sweep,set_056f221c55,12,8
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_2ea504427c,55,11
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_6cedf5e797,21,0
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_2269f3f803,66,5
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_88b55fb0f6,34,6
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_62f7838c4b,27,6
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_8f14919c57,30,10
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_6a07e89aca,17,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_ee5450b2bd,29,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_1e739fc094,18,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_dc3ecf91c4,26,4
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_91963c7ed3,25,4
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_fe4be9692e,41,4
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_cafeb96a19,20,0
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_ad39336678,18,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_17971c5e65,51,12
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_cebba23029,12,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_0c94cdb580,47,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_4138901fbd,40,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_2a8a0c2c46,29,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_92fd5187ca,21,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_ebe56592ba,25,0
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_f6749acc3e,28,4
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_02ce992066,26,5
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_6c6f6fe984,27,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_144dc4b8a3,59,6
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_36e1adacc2,43,7
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_3ad12c9721,39,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_b2e59f9fd9,64,3
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_12e6179242,11,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_c73206817a,27,3
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_7611dca40a,24,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_306c9f6cd5,21,3
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_dcac348055,23,0
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_8dc114a9ed,29,3
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_b8bafd02ba,42,3
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_6ff8c01e5e,30,3
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_97bf5c8dbb,58,4
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_d8299a4fe5,37,4
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_a84483e0f0,73,13
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_923880e871,43,3
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_d968f73897,14,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_4155aad91f,29,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_d997a612d8,34,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_d786d26975,17,6
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_1d6e8ac05b,33,7
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_a68d7485f6,30,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_5bbb159ce1,27,11
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_15ceb8b840,44,4
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_e0c210b392,61,6
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_20f50bea95,30,3
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_0aff08fe79,19,0
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_007eaa1a85,7,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_3944272443,33,9
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_4c4dde4cee,31,0
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_e8b09d796f,19,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_fb49fea8a3,13,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_e6f8cfb763,49,9
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_928b2c583e,19,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_26e5cf99ef,28,0
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_29ebf3f3da,67,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_501cd3859e,9,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_af90147001,23,4
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_49e86234df,10,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_dda94f81b4,9,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_32901117b9,11,5
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_3b7769be62,31,6
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_fd311e4727,10,4
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_5f262e7d07,42,0
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_e6b18b1d2f,19,3
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_f314f1647f,17,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_966d757772,18,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_674ec21534,18,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_a008ea69fd,24,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_bde45c348a,18,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_20adf3af55,8,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_aa627ee9ea,35,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_77ee06219f,8,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_62e609c277,9,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_f4b9260b4b,20,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_e5b926ced6,19,0
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_4d9c07d737,12,0
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_6df9eeb96b,20,5
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_e3cebc5231,22,4
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_e5e97c1720,9,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_0cc612debf,10,0
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_c04495224e,18,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_4d4c6aa3d4,19,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_f31d7f72d0,25,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_5a2792f9ed,27,3
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_2449669e02,57,11
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_cc3c0c7380,4,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_04adb3a3ac,13,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_c0c8e93789,15,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_72f4cd6e8d,9,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_15e079b75b,11,1
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_056f221c55,12,2
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_187a2777ed,21,0
A5 SMPDB sweep :: detected in >=25% of studies,smpdb_sweep,set_60b84238d1,24,0
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_6a07e89aca,17,2
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_1e739fc094,18,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_ad39336678,18,2
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_cebba23029,12,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_12e6179242,11,2
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_d968f73897,14,2
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_d786d26975,17,6
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_0aff08fe79,19,0
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_007eaa1a85,7,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_e8b09d796f,19,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_fb49fea8a3,13,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_928b2c583e,19,2
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_501cd3859e,9,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_49e86234df,10,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_dda94f81b4,9,2
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_32901117b9,11,5
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_fd311e4727,10,4
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_e6b18b1d2f,19,3
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_f314f1647f,17,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_966d757772,18,2
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_674ec21534,18,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_bde45c348a,18,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_20adf3af55,8,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_77ee06219f,8,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_62e609c277,9,2
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_e5b926ced6,19,0
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_4d9c07d737,12,0
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_e5e97c1720,9,2
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_0cc612debf,10,0
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_c04495224e,18,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_4d4c6aa3d4,19,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_cc3c0c7380,4,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_04adb3a3ac,13,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_c0c8e93789,15,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_72f4cd6e8d,9,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_15e079b75b,11,1
A5 SMPDB sweep :: detected in >=25% of studies :: size_lt20,smpdb_sweep,set_056f221c55,12,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_2ea504427c,55,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_6cedf5e797,21,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_2269f3f803,66,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_88b55fb0f6,34,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_62f7838c4b,27,3
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_8f14919c57,30,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_6a07e89aca,17,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_ee5450b2bd,29,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_1e739fc094,18,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_dc3ecf91c4,26,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_91963c7ed3,25,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_fe4be9692e,41,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_cafeb96a19,20,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_ad39336678,18,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_17971c5e65,51,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_cebba23029,12,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_0c94cdb580,47,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_4138901fbd,40,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_2a8a0c2c46,29,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_92fd5187ca,21,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_ebe56592ba,25,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_f6749acc3e,28,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_02ce992066,26,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_6c6f6fe984,27,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_144dc4b8a3,59,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_36e1adacc2,43,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_3ad12c9721,39,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_b2e59f9fd9,64,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_12e6179242,11,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_c73206817a,27,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_7611dca40a,24,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_306c9f6cd5,21,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_dcac348055,23,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_8dc114a9ed,29,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_b8bafd02ba,42,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_6ff8c01e5e,30,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_97bf5c8dbb,58,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_d8299a4fe5,37,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_a84483e0f0,73,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_923880e871,43,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_d968f73897,14,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_4155aad91f,29,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_d997a612d8,34,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_d786d26975,17,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_1d6e8ac05b,33,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_a68d7485f6,30,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_5bbb159ce1,27,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_15ceb8b840,44,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_e0c210b392,61,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_20f50bea95,30,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_0aff08fe79,19,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_007eaa1a85,7,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_3944272443,33,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_4c4dde4cee,31,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_e8b09d796f,19,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_fb49fea8a3,13,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_e6f8cfb763,49,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_928b2c583e,19,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_26e5cf99ef,28,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_29ebf3f3da,67,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_501cd3859e,9,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_af90147001,23,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_49e86234df,10,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_dda94f81b4,9,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_32901117b9,11,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_3b7769be62,31,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_fd311e4727,10,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_5f262e7d07,42,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_e6b18b1d2f,19,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_f314f1647f,17,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_966d757772,18,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_674ec21534,18,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_a008ea69fd,24,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_bde45c348a,18,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_20adf3af55,8,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_aa627ee9ea,35,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_77ee06219f,8,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_62e609c277,9,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_f4b9260b4b,20,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_e5b926ced6,19,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_4d9c07d737,12,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_6df9eeb96b,20,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_e3cebc5231,22,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_e5e97c1720,9,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_0cc612debf,10,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_c04495224e,18,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_4d4c6aa3d4,19,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_f31d7f72d0,25,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_5a2792f9ed,27,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_2449669e02,57,2
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_cc3c0c7380,4,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_04adb3a3ac,13,1
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_c0c8e93789,15,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_72f4cd6e8d,9,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_15e079b75b,11,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_056f221c55,12,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_187a2777ed,21,0
A5 SMPDB sweep :: detected in >=50% of studies,smpdb_sweep,set_60b84238d1,24,0
A5 SMPDB sweep :: detected in >=50% of studies :: size_lt20,smpdb_sweep,set_6a07e89aca,17,0
